character,dialogue,movie
cassie lang,"Good, boy. [after watching the video of Cassie doing her cartwheel]",ant_man
Scott Lang,"Sweetie, that’s pretty amazing, Peanut. [just then Scott gets a call] Sorry. It’s work. [he answers the call] Yeah?",ant_man
Scott Lang,"Alright, here’s the deal. Just give me the facts.",ant_man
Luis,"Just the facts, only the facts.",ant_man
Scott Lang,"Breathe, focus, keep it simple.",ant_man
Luis,"No, no, no, no doubt, no doubt. Okay, so I’m at this art museum with my cousin Ignacio, right? And there was this, like, abstract expressionism exhibit, but you know me, I’m more like a Neo-Cubist kind of guy, right? But there was this one Rothko that was sublime, bro. Oh, my God…",ant_man
Scott Lang,Luis.,ant_man
Luis,"Yeah. You know what, I can’t tell you who my contact is, because he works with the Avengers.”",ant_man
Scott Lang,"Oh, no.",ant_man
Luis,"“Did bad-ass tell the stupid fine writer chick to tell you to tell me because I’m tight with that man, that he’s looking for him?”",ant_man
Scott Lang,And? What’d he say?,ant_man
Luis,He said yes.,ant_man
Dr. Hank Pym,"There’s something I want to show you. I realized you can’t destroy power, all you can do is to make sure that it’s in the right hands. [he opens up a vault to reveal the prototype of the Wasp suit] This is an advanced prototype that your mother and I worked on together. She never got to use it, but now I realize that we were… we were working on it for you. [Hope looks at the suit in shock then back to Pym] Maybe it’s time we finished it. [Hope looks back at the suit and smiles]",ant_man
hope van dyne,It’s about damn time.,ant_man
Sam Wilson,"Hey, Cap! [Steve and Sam are in an underground room with they are holding Bucky Barnes with his metal arm trapped in a vice] This would have been a lot easier a week ago.",ant_man
Steve Rogers,If we call Tony…,ant_man
Sam Wilson,He won’t believe us.,ant_man
Steve Rogers,Even if he did…,ant_man
Sam Wilson,Who knows if the accords will let him help?,ant_man
Steve Rogers,We’re on our own.,ant_man
Sam Wilson,Maybe not. I know a guy.,ant_man
categories,,ant_man
avengers,Endgame,ant_man
Tony Stark,"[voice over] We create our own demons. Who said that? What does that even mean? Doesn't matter, I said it cause he said it. So now he was famous and that's basically get said by two well known guys. I don't, uh...I'm gonna start again. Let's track this from the beginning.",iron_man_3
Happy Hogan,[to Maya] Half hour till the ball drops.,iron_man_3
Tony Stark,"Hey, do you want...?",iron_man_3
part guest,"Tony Stark, great speech, man!",iron_man_3
Happy Hogan,I got it.,iron_man_3
Tony Stark,I gave a speech? How was it?,iron_man_3
Happy Hogan,Pitiful,iron_man_3
maya hansen,Unintelligible.,iron_man_3
Tony Stark,Really?,iron_man_3
maya hansen,Mm-hmm.,iron_man_3
Tony Stark,"It's my favorite kind, a winning combo.",iron_man_3
maya hansen,Where are we going?,iron_man_3
Tony Stark,"Uh...to town on each other, probably back in your room. Cause I also wanna see your research.",iron_man_3
maya hansen,"Okay, you can see my research, but thats...I'm not gonna show you my town.",iron_man_3
ho yinsen,"Mr. Stark, Ho Yinsen.",iron_man_3
Tony Stark,"Oh, I finally met a man called Ho.",iron_man_3
Tony Stark,Come here.,iron_man_3
ho yinsen,"I would like to introduce you to our guest, Dr. Wu.",iron_man_3
Tony Stark,"[to Wu] Oh, this guy.",iron_man_3
dr. wu,Mr. Stark.,iron_man_3
Tony Stark,Hey.,iron_man_3
Tony Stark,"You're a heart doctor. She's going to need a cardiologist, FIA.",iron_man_3
maya hansen,Bye.,iron_man_3
ho yinsen,Perhaps another time.,iron_man_3
Tony Stark,"[voice over] It started in Berns, Switzerland, 1999, the old days. I never thought they'd come back to bite me. Why would they?",iron_man_3
aldrich killian,"Mr. Stark! Oh, wow! Hey, Tony! Aldrich Killian. [to Maya] I'm a big fan of your work!",iron_man_3
maya hansen,My work?,iron_man_3
Tony Stark,Who isn't? She needs me.,iron_man_3
aldrich killian,"Well, of course. But, Miss Hansen, my organization has been tracking your research since year two of MIT.",iron_man_3
Happy Hogan,"Yeah, we're full.",iron_man_3
Tony Stark,"Oh, wow. He made it. He made the cut.",iron_man_3
Happy Hogan,"What floor are you going to, pal?",iron_man_3
aldrich killian,"Oh, now, that is an appropriate question. The ground floor, actually. I've got a proposal I'm putting together with myself. It's a privately funded think tank called, Advanced Idea Mechanics.",iron_man_3
maya hansen,Okay.,iron_man_3
Tony Stark,Uh...she'll take both. One to throw away and one to not call.,iron_man_3
aldrich killian,"Advanced Idea Mechanics, or AIM for short.",iron_man_3
aldrich killian,Do you get it?,iron_man_3
Tony Stark,"I see that, cause it's on your t-shirt.",iron_man_3
aldrich killian,Oh!,iron_man_3
Tony Stark,"[to the party of women in the elevator; referring to Hogan as they walk out] Ladies, follow the mullet.",iron_man_3
maya hansen,"[to Aldrich as she walks out of the elevator] Thank you, I'll call you.",iron_man_3
Tony Stark,I'm titillated by the notion of working with you.,iron_man_3
aldrich killian,Yeah?,iron_man_3
Tony Stark,"Yeah, cheese clown. I'm going to ditch these clowns; I'll see you up on the roof in five minutes.",iron_man_3
Tony Stark,I'm just going to try to get my beef wet real quick. You know what I'm talkin' about?,iron_man_3
aldrich killian,Okay. I'll see you up there.,iron_man_3
Tony Stark,Damn betcha. Come on! I thought that was just a theory.,iron_man_3
maya hansen,"Well, it was. If I'm right, we can access the area of the brain that governs repair.",iron_man_3
Tony Stark,Wow.,iron_man_3
maya hansen,And chemically recode it.,iron_man_3
Tony Stark,That's incredible. Essentially you're hacking into the genetic operating system...,iron_man_3
maya hansen,Genetic operating system...,iron_man_3
Tony Stark,...of an organism.,iron_man_3
maya hansen,Exactly. Yes.,iron_man_3
Tony Stark,Wow.,iron_man_3
maya hansen,Can you...,iron_man_3
Happy Hogan,What?,iron_man_3
maya hansen,Can you not touch my plant. It's not...she doesn't like it. She prefers...,iron_man_3
Tony Stark,She's not like the others.,iron_man_3
maya hansen,Interference is better.,iron_man_3
Tony Stark,[to Maya] Come on. Let's go in the bedroom.,iron_man_3
maya hansen,"That's cute, but...",iron_man_3
Tony Stark,"Happy, leave her ficus alone.",iron_man_3
maya hansen,"No, seriously don't.",iron_man_3
Tony Stark,So you're starting with plants?,iron_man_3
maya hansen,"For now, yeah. I'm calling it Extremis.",iron_man_3
maya hansen,"Well, it's...human application.",iron_man_3
Tony Stark,Human application.,iron_man_3
maya hansen,Exactly! Exactly. It's dentra-degree vitalization.,iron_man_3
Tony Stark,It's revolutionary.,iron_man_3
maya hansen,Disease prevention...,iron_man_3
Tony Stark,It can change the world.,iron_man_3
maya hansen,Even limb regrowth.,iron_man_3
Tony Stark,You're the most gifted woman I've ever met.,iron_man_3
maya hansen,Wow!,iron_man_3
Tony Stark,Uh...in Switzerland.,iron_man_3
maya hansen,"Mm, that's better.",iron_man_3
Tony Stark,You're sweet.,iron_man_3
maya hansen,"Wow, you're seeing things.",iron_man_3
Tony Stark,"You almost bought it, didn't you?",iron_man_3
maya hansen,"This is what I'm talking about, the glitch.",iron_man_3
Tony Stark,Have you checked the telomerized algorithm?,iron_man_3
maya hansen,The what?,iron_man_3
Tony Stark,We're good.,iron_man_3
Happy Hogan,Stay down.,iron_man_3
Tony Stark,You're...you're right on me. I made it.,iron_man_3
Happy Hogan,What was that?,iron_man_3
maya hansen,It's a glitch in my work...,iron_man_3
Tony Stark,"Look, she was just talking about glitches happening.",iron_man_3
Happy Hogan,It's not Y2K?,iron_man_3
maya hansen,No.,iron_man_3
Tony Stark,Hey!,iron_man_3
Happy Hogan,Happy New Year.,iron_man_3
Tony Stark,Happy New Year.,iron_man_3
maya hansen,Happy New Year.,iron_man_3
Tony Stark,"Alright, I'll see you in the mornin'.",iron_man_3
Happy Hogan,You good?,iron_man_3
Tony Stark,Yep.,iron_man_3
Happy Hogan,I'll be right outside.,iron_man_3
Tony Stark,Okay.,iron_man_3
Tony Stark,"[voice over] So why am I telling you this? Because I had just created demons, and I didn't even know it.",iron_man_3
Tony Stark,"[voice over] Yeah, those were the good times. Then I moved on. After a brief soiree in an Afghan cave, I said goodbye to the party scene. Forgot that night in Switzerland. These days I'm a changed man, I'm different now. I'm well... you know who I am.",iron_man_3
jarvis,"Sir, please may I request just a few hours to calibrate...",iron_man_3
Tony Stark,No. Forty-eight.[he injects himself],iron_man_3
Tony Stark,Ah! Micro-repeater implanting sequence complete.,iron_man_3
jarvis,"As you wish, sir. I've also prepared a safety briefing for you to entirely ignore.",iron_man_3
Tony Stark,"Which I will. Right, let's do this.",iron_man_3
Tony Stark,"Dummy. Hi, Dummy. How did you get that cap on your head? You earned it.",iron_man_3
Tony Stark,"Hey. Hey! What are you doing round in the corner? You know what you did. Blood on my mat, handle it.",iron_man_3
jarvis,"Sir, may I remind you that you've been awake for nearly seventy-two hours.",iron_man_3
Tony Stark,"Focus up, ladies. Good evening, and welcome to the birthing suit. I'm pleased to announce the imminent arrival of your bouncing, bad-ass, baby brother.",iron_man_3
Tony Stark,"Start tight and go wide, stamp in time. Mark 42 autonomous prehensile propulsion suit test. Initialize sequence.",iron_man_3
Tony Stark,"Jarvis, drop my needle.",iron_man_3
Tony Stark,Crap.,iron_man_3
Tony Stark,"Alright, I think we got this. Send 'em all.",iron_man_3
Tony Stark,"Probably a little fast, slow it down. Slow it down just a...",iron_man_3
Tony Stark,...little bit.,iron_man_3
Tony Stark,"Cool it, will you, Jarvis?",iron_man_3
Tony Stark,Come on. I ain't scared of you.,iron_man_3
Tony Stark,I'm the best.,iron_man_3
jarvis,"As always, sir, a great pleasure watching you work.",iron_man_3
Tony Stark,[voice over] And I guess seventy-two hours isn't a long time between siesta's. Didn't think it could get any worse. Then I had to go and turn on the TV.,iron_man_3
Tony Stark,[voice over] That's when he happened.,iron_man_3
the mandarin,"Some people call me a terrorist, I consider myself a teacher. America, ready for another lesson. In 1864 in Sand Creek Colorado the U.S. military waited till the friendly Cheyenne braves all gone hunting, waited to attack and slaughter their families left behind, and claim their land. Thirty-nine hours ago the Ali Al Salem Air Base in Kuwait was attacked. I...I...I did that. A quaint military church filled with wives and children, of course. The soldiers were out on maneuver, the braves were away. President Ellis you continue to resist my attempts to educate you, sir. And now, you've missed me again. You know who I am, you don't know where I am, and you'll never see me coming.",iron_man_3
president ellis,"Central to my Administration's response to this terrorist event, is a newly minted resource. I know him as Colonel James Rhodes, the American people will soon know him as the Iron Patriot.",iron_man_3
bill maher,And how is President Ellis responding? By taking the guy they call War Machine and giving him a paint job.,iron_man_3
joan rivers,"Same suit, but painted red, white, and blue. Look at That. And they also renamed him Iron Patriot. You know, just in case the paint was too subtle.",iron_man_3
colonel james rhodes,"It tested well with focus groups, alright?",iron_man_3
Tony Stark,[putting on a mocking voice] I am Iron Patriot...,iron_man_3
colonel james rhodes,"Listen, War Machine was a little too aggressive, alright? This sends a better message.",iron_man_3
Tony Stark,"So what's really goin' on? With Mandarin. Seriously, can we talk about this guy?",iron_man_3
colonel james rhodes,"It's classified information, Tony. Okay, there have been nine bombings.",iron_man_3
Tony Stark,Nine.,iron_man_3
colonel james rhodes,"The public only knows about three. Here's the thing, nobody can ID a device. There's no bomb casings.",iron_man_3
Tony Stark,"You know I can help, just ask. I got a ton of new tech, I got a prehensile, I got a...I got a new bomb disposal. Catches explosions mid-air.",iron_man_3
colonel james rhodes,When's the last time you got a good night's sleep?,iron_man_3
Tony Stark,Einstein slept three hours a year. Look what he did?,iron_man_3
colonel james rhodes,"People are concerned about you, Tony. I'm concerned about you.",iron_man_3
Tony Stark,You're gonna come at me like that?,iron_man_3
colonel james rhodes,"No. No, look, I'm not trying to be a dic...",iron_man_3
colonel james rhodes,...tator.,iron_man_3
erin,Do you mind signing my drawing?,iron_man_3
Tony Stark,"If Richard doesn't mind. [to Rhodes] You alright with this, Dick?",iron_man_3
colonel james rhodes,Fine with me.,iron_man_3
erin,Erin.,iron_man_3
Tony Stark,"I loved you in A Christmas Story, by the way.",iron_man_3
colonel james rhodes,"Listen, the Pentagon is scared. After what happened in New York... aliens, come on. They need to look strong. Stopping the Mandarin is priority, but it's not...",iron_man_3
Tony Stark,"It's superhero business, I get it.",iron_man_3
colonel james rhodes,"No, it's not, quite frankly. It's American business.",iron_man_3
Tony Stark,That's why I said I...got it.,iron_man_3
colonel james rhodes,Are you okay?,iron_man_3
Tony Stark,I broke the crayon.,iron_man_3
erin,"Are you okay, Mr. Stark?",iron_man_3
colonel james rhodes,Take it easy. Tony...,iron_man_3
little boy,[the little boy whispers to Tony] How did you get out of the wormhole? How did you get out of the wormhole?,iron_man_3
colonel james rhodes,Wait a minute! Tony!,iron_man_3
Tony Stark,What'd he say?!,iron_man_3
colonel james rhodes,Tony!,iron_man_3
Tony Stark,Sorry. Have to check on the suit...make sure...okay.,iron_man_3
Tony Stark,"Check the heart, check the...check the...is it the brain?",iron_man_3
jarvis,No sign of cardiac analomy or unusual brain activity,iron_man_3
Tony Stark,"Okay, so I was poisoned?",iron_man_3
jarvis,My diagnosis is that you've experienced a severe anxiety attack.,iron_man_3
Tony Stark,Me?,iron_man_3
colonel james rhodes,"Come on, man. This isn't a good look, open up.",iron_man_3
Tony Stark,"Sorry, I gotta split.",iron_man_3
Happy Hogan,"Badge...badge...badge. Badge, guys. I put a memo in the toilet, come on. [referring to Tony's robots as Hogan meets with Pepper] Tony has got them in his basement, they're wearing party hats. This is an asset that we can put to use.",iron_man_3
Pepper Potts,"Uh-huh. So, you're suggesting that I replace the entire janitorial staff with robots?",iron_man_3
Happy Hogan,What I'm saying is that the human element of Human Resources is our biggest point of vulnerability. We should start phasing it out immediately.,iron_man_3
Pepper Potts,What!?,iron_man_3
Happy Hogan,"[to another employee as Hogan walks past them] Excuse me, Bambi.",iron_man_3
Pepper Potts,[Hogan points to his badge] Did you just say that?,iron_man_3
Happy Hogan,Security.,iron_man_3
Pepper Potts,Happy?,iron_man_3
Happy Hogan,Yes.,iron_man_3
Pepper Potts,"Okay, I am thrilled that you're now the Head of Security, okay? It is the perfect position for you.",iron_man_3
Happy Hogan,Thank you.,iron_man_3
Pepper Potts,However...,iron_man_3
Happy Hogan,I do appreciate it,iron_man_3
Pepper Potts,Since you've taken the post...,iron_man_3
Happy Hogan,You don't have to thank me.,iron_man_3
Pepper Potts,We've had a rise in staff complaints of three hundred percent,iron_man_3
Happy Hogan,Thank you.,iron_man_3
Pepper Potts,That's not a compliment.,iron_man_3
Happy Hogan,That's not a compli...? It is a compliment! Clearly somebody's trying to hide something.,iron_man_3
Pepper Potts,I...,iron_man_3
Pepper Potts,Excuse me.,iron_man_3
Pepper Potts,Yes?,iron_man_3
Pepper Potts,"Miss Potts, your four o'clock is here.",iron_man_3
Pepper Potts,Thank you.,iron_man_3
Happy Hogan,Did you clear this four o'clock with me?,iron_man_3
Pepper Potts,"Happy, we'll talk about this later. But right now I have to go deal with this very annoying thing.",iron_man_3
Happy Hogan,How so?,iron_man_3
Pepper Potts,"I used to work with him, and he used to ask me out all the time. So it's a little awkward.",iron_man_3
Happy Hogan,I don't like the sound of that.,iron_man_3
aldrich killian,Pepper.,iron_man_3
Pepper Potts,Killian?,iron_man_3
aldrich killian,You look great. You look really great.,iron_man_3
Pepper Potts,"God, you look...you look great. I... I...I can't... What on earth have you been doing?",iron_man_3
aldrich killian,"Nothing fancy, just five years in the hands of physical therapists. And please, call me Aldrich.",iron_man_3
Happy Hogan,Uh...you were supposed to be issued a security badge.,iron_man_3
Pepper Potts,"Happy, it's okay.",iron_man_3
Happy Hogan,Yes?,iron_man_3
Pepper Potts,We're good.,iron_man_3
Happy Hogan,You sure?,iron_man_3
Pepper Potts,Yes. Stand down.,iron_man_3
Happy Hogan,"Okay. I'm gonna linger, right here.",iron_man_3
Pepper Potts,Thank you.,iron_man_3
Happy Hogan,Okay.,iron_man_3
Pepper Potts,"It's very nice to see you, Killian.",iron_man_3
Happy Hogan,"Hey, guy.",iron_man_3
savin,Merry Christmas.,iron_man_3
aldrich killian,"After years dodging the President's ban on ""immoral biotech research"", my think tank now has a little something in the pipeline. It's an idea we like to call Extremis. I'm gonna turn your lights down.",iron_man_3
aldrich killian,Regard the human brain.,iron_man_3
aldrich killian,"Uh...wait. Hold on, hold on. That's...that's the universe, my bad. But if I do that...",iron_man_3
aldrich killian,"That's the brain. ely mimetic though, wouldn't you say?",iron_man_3
aldrich killian,"Thanks, it's mine.",iron_man_3
Pepper Potts,What?,iron_man_3
aldrich killian,This...you're inside my head. It's a...,iron_man_3
aldrich killian,"It's a live feed. Come on up, I'll prove it to you.",iron_man_3
aldrich killian,Come on.,iron_man_3
aldrich killian,"Now, pinch my arm. I can take it. Pinch me.",iron_man_3
Pepper Potts,What is that?,iron_man_3
aldrich killian,It's the primary somatosensory cortex. It's the brain's pain center. But this is what I wanted to show you.,iron_man_3
aldrich killian,"Now, Extremis harnesses our bioelectrical potential And it goes...here. This is essentially an empty slot, and what this tells us is that our mind, our entire DNA in fact, is destined to be upgraded.",iron_man_3
Pepper Potts,Wow.,iron_man_3
Happy Hogan,Hello?,iron_man_3
Tony Stark,Is this forehead of Security?,iron_man_3
Happy Hogan,"What? You know, look, I got a real job. What do you want? I'm working, I got something going on here.",iron_man_3
Tony Stark,What? Harassing interns?,iron_man_3
Happy Hogan,"Let me tell you something, you know what happened when I told people I was Iron Man's body guard? They would laugh in my face.",iron_man_3
Happy Hogan,"I had to leave while I still had a shred of dignity. Now I got a real job, I'm watching Pepper.",iron_man_3
Tony Stark,What's going on? Fill me in.,iron_man_3
Happy Hogan,For real?,iron_man_3
Tony Stark,Yeah.,iron_man_3
Happy Hogan,"Alright, so she's meeting up with this scientist. Rich guy, handsome.",iron_man_3
Tony Stark,Right.,iron_man_3
Happy Hogan,"I couldn't make his face at first, right? You know I'm good with faces.",iron_man_3
Tony Stark,"Oh, Yeah, yeah. You're the best.",iron_man_3
Happy Hogan,"Yeah. Well, so I run his credentials, I make him Aldrich Killian. We actually met the guy back in... where were we in '99? The science conference?",iron_man_3
Tony Stark,Um...Switzerland.,iron_man_3
Happy Hogan,"Right, right, exactly.",iron_man_3
Tony Stark,"Killian? No, I don't remember that guy.",iron_man_3
Happy Hogan,"Of course you don't. He's not a blond with a big rack. At first it was fine, they were talking business, but now it's like getting weird. He's showing her a big brain.",iron_man_3
Tony Stark,His what?,iron_man_3
Happy Hogan,"Big brain, and she likes it. Here, let me show you. Hold on. See? [he holds his tablet up and points it towards Pepper's glass office, where Aldrich and Pepper are standing close together on the coffee table watching the 3d image of the brain, but all Tony sees is Hogan pointing the tablet camera at himself]",iron_man_3
Tony Stark,Look at what? You watching them? Flip the screen and then we can get started.,iron_man_3
Happy Hogan,"I'm not a tech genius like you. Just...just trust me, get down down here.",iron_man_3
Tony Stark,"Flip the screen, then I can see what they're doing.",iron_man_3
Happy Hogan,I can't! I don't know how to flip the screen!Don't talk to me like that anymore. You're not my boss.,iron_man_3
Happy Hogan,"Alright, I don't work for you. Now I don't trust this guy. He's got another guy with him, he's shifty.",iron_man_3
Tony Stark,Relax.,iron_man_3
Happy Hogan,Seriously?,iron_man_3
Tony Stark,I'm just asking you to secure the perimeter. Tell him to go out for a drink or something?,iron_man_3
Happy Hogan,"You know what? You should take more of an interest in what's going on here. This woman... this woman's the best thing that ever happened to you, and you...you're just ignoring her.",iron_man_3
Tony Stark,A giant brain?,iron_man_3
Happy Hogan,"Yeah, there's a giant brain, there's a shifty character. I'm gonna follow this guy. I'm gonna run his plates and if it gets rough, so be it.",iron_man_3
Tony Stark,"I miss you, Happy.",iron_man_3
Happy Hogan,"Yeah, I miss you too. But the way it used to be. Now you're off with the 'superfriends', I don't know what's going on with you anymore. The world's getting weird...",iron_man_3
Tony Stark,"Hey, I...I'd hate to cut you off. Do you have your taser on you?",iron_man_3
Happy Hogan,Why?,iron_man_3
Tony Stark,"I think there's a gal in HR who's trying to steal some printer ink, you should probably go over there and zap her.",iron_man_3
Happy Hogan,"Yeah, nice.",iron_man_3
aldrich killian,Imagine if you could hack into the hard drive of any living organism and recode its DNA.,iron_man_3
Pepper Potts,It would be incredible.,iron_man_3
aldrich killian,Mm.,iron_man_3
Pepper Potts,"Unfortunately, to my ears it also sounds highly weaponizable. As in enhanced soldiers, private armies, and Tony is not...",iron_man_3
aldrich killian,"Tony. Tony. You know, I invited Tony to join AIM thirteen years ago, he turned me down. But something tells me now there is a new genius on the throne who doesn't have to answer to Tony anymore, and who has slightly less of an ego.",iron_man_3
Pepper Potts,"It's gonna be a no, Aldrich. As much as I'd like to help you.",iron_man_3
aldrich killian,"Well, I can't say that I'm not disappointed. But then as my father used to say, 'Failure is the fog through which we glimpse triumph.'",iron_man_3
Pepper Potts,That's very deep.,iron_man_3
aldrich killian,Mm,iron_man_3
Pepper Potts,And I have no idea what it means.,iron_man_3
aldrich killian,"Well, me neither. He was kind of an idiot, my old man.",iron_man_3
aldrich killian,"I'm sure I'll see you again, Pepper.",iron_man_3
Pepper Potts,Happy...,iron_man_3
Happy Hogan,"The car is ready, if you're ready to go.",iron_man_3
Pepper Potts,"Yes. I just um...God, I forgot my other thing, so I'm just gonna...",iron_man_3
Pepper Potts,I'm sorry I'm late. I was... What the...? What is that?!,iron_man_3
Pepper Potts,"You're wearing this in the house now? What is that, like Mark 15?",iron_man_3
Tony Stark,Uh...yeah. Something like that. You know everybody needs a hobby.,iron_man_3
Pepper Potts,"Oh, and you have to wear your hobby in the living room?",iron_man_3
Tony Stark,"Just breakin' it in. You know, it's always a little pinchy in the gooey bag at first, so.",iron_man_3
Tony Stark,"Oh hey, did you see your Christmas present?",iron_man_3
Pepper Potts,"Yes, I did. I...I don't know how I could have missed that Christmas present. Is it gonna fit through the door?",iron_man_3
Tony Stark,"Well actually, uh...it's a good question. I got a team of guys comin' tomorrow, they're gonna blow out that wall.",iron_man_3
Pepper Potts,Okay.,iron_man_3
Tony Stark,"So, uh...tense? Good day?",iron_man_3
Tony Stark,"Ooh shoulders, a little naughty. Naughty girl. I don't wanna harp on this, but did you like the custom rabbit?",iron_man_3
Pepper Potts,Did I like it?,iron_man_3
Tony Stark,"Nailed it, right?",iron_man_3
Pepper Potts,Wow. I appreciate the thought very much.,iron_man_3
Pepper Potts,So why don't you lift up that face mask and give me a kiss?,iron_man_3
Tony Stark,"Huh. Yup, dammit. No can do. You wanna just kiss it on the...",iron_man_3
Pepper Potts,Uh-huh.,iron_man_3
Tony Stark,The facial slit?,iron_man_3
Pepper Potts,"Well, why don't I run down to the garage and see if I can't find a crowbar to shimmy that thing open?",iron_man_3
Tony Stark,Crowbar. Yeah.,iron_man_3
Tony Stark,"Oh, except there's been a...uh...a radiation leak.",iron_man_3
Pepper Potts,I'll take my chances.,iron_man_3
Tony Stark,That's risky.,iron_man_3
Tony Stark,At least let me get you like a Hazmat suit or a Geiger counter or something like that.,iron_man_3
Tony Stark,Busted.,iron_man_3
Pepper Potts,This is a new level of lame.,iron_man_3
Tony Stark,Sorry.,iron_man_3
Pepper Potts,"You ate without me, already? On date night?",iron_man_3
Tony Stark,[referring to Mark 42 suit] He was just...,iron_man_3
Pepper Potts,You mean you?,iron_man_3
Tony Stark,"Well, yeah. I just mean we were just...just hosting you while I finished up a little work.",iron_man_3
Pepper Potts,Uh-huh.,iron_man_3
Tony Stark,"And yes, I had a quick bite. I didn't know if you were comin' home or if you were having drinks with Aldrich Killian.",iron_man_3
Pepper Potts,What?,iron_man_3
Tony Stark,What?,iron_man_3
Pepper Potts,Aldrich Killian? What are you checking up on me?,iron_man_3
Tony Stark,Happy was concerned.,iron_man_3
Pepper Potts,"No, you're spying on me.",iron_man_3
Tony Stark,I wasn't...,iron_man_3
Pepper Potts,I'm going to bed.,iron_man_3
Tony Stark,Hold on. Come on. Pep.,iron_man_3
Tony Stark,"Hey, I admit it! My fault. Sorry.",iron_man_3
Tony Stark,"I'm a piping hot mess. It's been going on for a while, I haven't said anything.",iron_man_3
Tony Stark,Nothing's been the same since New York.,iron_man_3
Pepper Potts,"Oh really? Well, I didn't notice that, at all.",iron_man_3
Tony Stark,"You experience things and then they're over and you still can't explain 'em. Gods, aliens, other dimensions. I...I'm just a man in a can. The only reason I haven't cracked up is probably because you moved in. Which is great. I love you, I'm lucky. But, honey, I can't sleep. You go to bed, I come down here. I do what I know, I tinker.",iron_man_3
Tony Stark,"But threat is imminent, and I have to protect the one thing that I can't live without. That's you. My suits, they're uh...",iron_man_3
Pepper Potts,Machines.,iron_man_3
Tony Stark,But they're part of me.,iron_man_3
Pepper Potts,A distraction.,iron_man_3
Tony Stark,Maybe.,iron_man_3
Pepper Potts,I'm gonna take a shower.,iron_man_3
Tony Stark,Okay.,iron_man_3
Pepper Potts,And you're gonna join me.,iron_man_3
Tony Stark,Better.,iron_man_3
Pepper Potts,Tony! Tony! Tony! Tony...,iron_man_3
Tony Stark,Power down!,iron_man_3
Tony Stark,"I must have called it in my sleep. That's not supposed to happen. I'll recalibrate the sensors. Can we just...just let me...just let me catch my breath, okay?",iron_man_3
Tony Stark,"Don't go, alright? Pepper?",iron_man_3
Pepper Potts,I'm going to sleep downstairs. Tinker with that.,iron_man_3
savin,Can you regulate?,iron_man_3
taggert,"Yes, I can regulate.",iron_man_3
savin,Are you sure about that?,iron_man_3
taggert,Yes.,iron_man_3
savin,It's a decent batch. Don't say I never did nothin' for you.,iron_man_3
taggert,Thank you...I mean for understanding.,iron_man_3
Happy Hogan,"I'm sorry, buddy.",iron_man_3
savin,"What are you doin', buddy? You out by yourself? A little date night? Watching your favorite chick flick maybe?",iron_man_3
Happy Hogan,"Yeah, a little movie called ""The Party's Over"", starring you and your junkie girlfriend, and here's the ticket. [Hogan shows him what he took from Taggert's suitcase]",iron_man_3
savin,"No kidding? That doesn't belong to you. [Savin goes to take the item from Hogan's hand, but Hogan punches Savin in the face, Hogan notices Savin's face glow red and heal, then Savin grabs hold of Hogan and with super strength throws him aside, as Savin walks towards Hogan, Taggert begins to glow red and turn super hot]",iron_man_3
taggert,Savin!,iron_man_3
savin,What?,iron_man_3
taggert,"Help! Help me! [Taggert suddenly explodes, causing a massive explosion inside the theater which wounds Hogan, as he lies injured, Hogan sees Savin, also glowing red and then healing and walking off as if nothing has happened] [we see another TV footage from The Mandarin]",iron_man_3
the mandarin,"True story about fortune cookies. They look Chinese, they sound Chinese, but they're actually an American invention. Which is why they're hollow, full of lies, and leave a bad taste in the mouth. My disciples just destroyed another cheap American knock-off, The Chinese Theater. Mr. President, I know this must be getting frustrating, but this season of terror is drawing to a close. And don't worry, the big one is coming; your graduation. [as Hogan lies in hospital critically injured, Tony is sat in his room when a nurse walks in to check on Hogan]",iron_man_3
Tony Stark,Hi.,iron_man_3
Happy Hogan,Oh.,iron_man_3
Tony Stark,[referring to the TV] Uh...mind leaving that on?,iron_man_3
Happy Hogan,Sure. [Tony rises from his seat],iron_man_3
Tony Stark,"Sunday night's PBS 'Downtown Abbey'. That's his show, he thinks it's elegant. [he pauses for a moment] One more thing...make sure everyone wears their badges. He's a stickler for that sort of thing, plus my guys won't let anyone in without them. [Tony turns to leave] [news reporters are all waiting for Tony outside the hospital]",iron_man_3
hospital news reporter,We're awaiting the arrival of Tony Stark. We're hoping he'll give us the reaction...his reaction to the latest attack. [Tony walks out and all the reporters swarm toward him] Mr. Stark! Mr. Stark! Our sources are telling us that this is another Mandarin attack. Anything else you can tell us? [Tony ignores the questions and walks toward his car],iron_man_3
pushy tabloid reporter,"Hey, Mr. Stark! When is somebody gonna kill this guy? Just sayin'. [Tony turns to face the reporter]",iron_man_3
Tony Stark,"10880, Malibu Port, 90265. I'll leave the door unlocked. [to the reporter] Bill me. [Tony gets in his car and drives off] [as Tony is working his lab]",iron_man_3
jarvis,"I've compiled a Mandarin database for you, sir. Drawn from S.H.I.E.L.D., F.B.I., and C.I.A. intercepts. Initiating virtual crime scene reconstruction. [Tony starts looking at all the data gathered]",iron_man_3
